TAB_NAME,TAB_SCHEMA,OBJ_TYPE,OWNER,OWNER_TYPE,TABLESPACE,INDEX_TABLESPACE,LONG_TABLESPACE,TABLE_ORG,DROP_RULE,VOLATILE,ROW_COMP_MODE,PAGES_SAVED,COMPRESSION,DISTRIBUTION_TYPE,PARTITION_MODE,AVG_ROW_SIZE,STATUS,APPEND_MODE,ROW_COUNT,CREATE_TIME,LAST_USED,ALTER_TIME,STATS_TIME,PCTFREE,DATA_CAPTURE,LOCK_SIZE,LOGGED,REMARKS,PRIMARY_KEY,FOREIGN_KEY,TEMPORAL_TYPE
LOADED_DATA,PCJ17018,TABLE,PCJ17018,USER,PCJ17018SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,78,NORMAL,OFF,4,2022-10-01 16:53:48:852029,0001-01-01,2022-10-01 16:53:48:852029,2022-10-01 17:08:20:833486,"'-1",NONE,ROW,NO,,,,NO
Table 1,PCJ17018,TABLE,PCJ17018,USER,PCJ17018SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,26,NORMAL,OFF,4,2022-10-01 10:46:41:269733,0001-01-01,2022-10-01 11:25:32:137171,2022-10-01 11:57:14:768905,"'-1",NONE,ROW,NO,,,,NO
Table 10,PCJ17018,TABLE,PCJ17018,USER,PCJ17018SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,21,NORMAL,OFF,1,2022-10-01 10:36:44:131057,2022-10-01,2022-10-01 10:36:44:131057,2022-10-01 11:02:15:370819,"'-1",NONE,ROW,NO,,,,NO
Table 2,PCJ17018,TABLE,PCJ17018,USER,PCJ17018SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,16,NORMAL,OFF,2,2022-10-01 10:36:43:351184,2022-10-01,2022-10-01 10:36:43:351184,2022-10-01 12:58:16:585490,"'-1",NONE,ROW,NO,,,,NO
Table 3,PCJ17018,TABLE,PCJ17018,USER,PCJ17018SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,21,NORMAL,OFF,1,2022-10-01 10:36:43:429425,2022-10-01,2022-10-01 10:36:43:429425,2022-10-01 11:02:15:298374,"'-1",NONE,ROW,NO,,,,NO
Table 4,PCJ17018,TABLE,PCJ17018,USER,PCJ17018SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,21,NORMAL,OFF,1,2022-10-01 10:36:43:525452,2022-10-01,2022-10-01 10:36:43:525452,2022-10-01 11:02:15:318886,"'-1",NONE,ROW,NO,,,,NO
Table 5,PCJ17018,TABLE,PCJ17018,USER,PCJ17018SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,21,NORMAL,OFF,2,2022-10-01 10:36:43:596548,2022-10-01,2022-10-01 10:36:43:596548,2022-10-01 10:53:15:193756,"'-1",NONE,ROW,NO,,,,NO
Table 6,PCJ17018,TABLE,PCJ17018,USER,PCJ17018SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,21,NORMAL,OFF,1,2022-10-01 10:36:43:672078,2022-10-01,2022-10-01 10:36:43:672078,2022-10-01 11:02:15:336405,"'-1",NONE,ROW,NO,,,,NO
Table 7,PCJ17018,TABLE,PCJ17018,USER,PCJ17018SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,31,NORMAL,OFF,2,2022-10-01 10:36:43:789583,2022-10-01,2022-10-01 10:36:43:789583,2022-10-01 11:17:14:864580,"'-1",NONE,ROW,NO,,,,NO
Table 8,PCJ17018,TABLE,PCJ17018,USER,PCJ17018SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,21,NORMAL,OFF,1,2022-10-01 10:36:43:931228,2022-10-01,2022-10-01 10:36:43:931228,2022-10-01 12:58:19:729515,"'-1",NONE,ROW,NO,,,,NO
Table 9,PCJ17018,TABLE,PCJ17018,USER,PCJ17018SPACE1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,21,NORMAL,OFF,1,2022-10-01 10:36:44:031572,2022-10-01,2022-10-01 10:36:44:031572,2022-10-01 11:11:48:383314,"'-1",NONE,ROW,NO,,,,NO
